zoo,zooLabel,country,countryLabel,region,regionLabel,coord,inception,website
http://www.wikidata.org/entity/Q4782699,Aquamarine Fukushima,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q274384,Iwaki,Point(140.9015 36.94275),2000-07-15T00:00:00Z,https://www.aquamarine.or.jp/
http://www.wikidata.org/entity/Q7231211,Port of Nagoya Public Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q31751571,Minato-machi,Point(136.8782 35.0906),1992-10-01T00:00:00Z,https://nagoyaaqua.jp/
http://www.wikidata.org/entity/Q11341120,Marinepia Matsushima Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1349082,Matsushima,Point(141.059833 38.367556),,http://www.marinepia.co.jp/
http://www.wikidata.org/entity/Q4167605,Tashkent Zoo,http://www.wikidata.org/entity/Q265,Uzbekistan,,,Point(69.31083333 41.34027778),1924-01-01T00:00:00Z,https://tashkentzoo.uz/uz
http://www.wikidata.org/entity/Q4167605,Tashkent Zoo,http://www.wikidata.org/entity/Q265,Uzbekistan,,,Point(69.31083333 41.34027778),1924-01-01T00:00:00Z,https://tashkentzoo.uz/en
http://www.wikidata.org/entity/Q11357193,Q11357193,http://www.wikidata.org/entity/Q17,Japan,,,,,
http://www.wikidata.org/entity/Q22118342,Q22118342,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1347734,Kahoku,,,
http://www.wikidata.org/entity/Q4315033,Ashgabat Zoo,http://www.wikidata.org/entity/Q874,Turkmenistan,http://www.wikidata.org/entity/Q2343570,Gökdepe District,Point(58.048888888 38.038611111),,
http://www.wikidata.org/entity/Q4941423,Bondla Wildlife Sanctuary,http://www.wikidata.org/entity/Q668,India,,,Point(74.1136 15.4268),,
http://www.wikidata.org/entity/Q20892053,Indian Zoos and Botanical Gardens,http://www.wikidata.org/entity/Q668,India,,,,,
http://www.wikidata.org/entity/Q18987429,Chittagong Zoo,http://www.wikidata.org/entity/Q902,Bangladesh,http://www.wikidata.org/entity/Q376749,Chittagong,Point(91.79618955 22.36657159),1989-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q11267523,Saitama Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q847565,Hanyū-shi,Point(139.597861 36.173139),,https://www.parks.or.jp/suizokukan/
http://www.wikidata.org/entity/Q11361449,Q11361449,http://www.wikidata.org/entity/Q17,Japan,,,,,
