qid,zooLabel,countryLabel,inception,regionLabel
Q2891853,Qalqilya Zoo,Palestine,1986-01-01T00:00:00Z,Qalqilya
Q220207,Hong Kong Zoological and Botanical Gardens,People's Republic of China,,Central and Western District
Q20669929,Chengdu Zoo,People's Republic of China,1953-01-01T00:00:00Z,Chengdu
Q1142942,National Zoo of Malaysia,Malaysia,1963-11-14T00:00:00Z,Gombak
Q3364809,National Zoological Park Delhi,India,1959-01-01T00:00:00Z,
Q28980,Manila Ocean Park,Philippines,2008-03-01T00:00:00Z,Manila
Q4731647,Kanpur Zoological Park,India,1974-02-04T00:00:00Z,
Q24038908,Kamla Nehru Prani Sangrahalay,India,,
Q24952457,Gorewada Zoo,India,,Maharashtra
Q10566319,Chimelong Safari Park,People's Republic of China,1997-12-26T00:00:00Z,Guangzhou
Q3576017,Khao Kheow Open Zoo,Thailand,1978-06-01T00:00:00Z,Bang Phra
Q2182381,Japan Monkey Centre,Japan,,Inuyama
Q4467974,Tianjin Zoo,People's Republic of China,1980-01-01T00:00:00Z,
Q11526117,Tohoku Safari Park,Japan,,Nihonmatsu
Q21930126,VOC park and zoo,India,,
Q2116901,Dubai Dolphinarium,United Arab Emirates,2008-05-21T00:00:00Z,Emirate of Dubai
Q11305053,Sahoro Resort Bear Mountain,Japan,,Shintoku
Q2349688,Baghdad Zoo,Iraq,1971-01-01T00:00:00Z,Baghdad
Q22080053,Sajjangarh Biological Park,India,,Rajasthan
Q1144452,National Zoological Gardens of Sri Lanka,Sri Lanka,1936-01-01T00:00:00Z,
Q19613864,İzmir Wildlife Park,Turkey,2008-11-30T00:00:00Z,Çiğli district
Q2125883,"Underwater World, Singapore",Singapore,1991-01-01T00:00:00Z,Sentosa
Q11455860,Fuji Safari Park,Japan,1980-04-23T00:00:00Z,Susono
Q13014565,Safari Park Open Zoo,Thailand,,Nong Kum
Q11474596,Iwate Safari Park,Japan,,Ichinoseki
Q11454160,Q11454160,Japan,,
Q11609531,Gunma Safari Park,Japan,1979-05-01T00:00:00Z,Tomioka
Q2660049,Kuala Lumpur Bird Park,Malaysia,1991-01-01T00:00:00Z,Kuala Lumpur
Q22675361,Q22675361,North Korea,,
Q2723997,Rajiv Gandhi Zoological Park,India,1999-03-14T00:00:00Z,Pune
Q2234723,Night Safari,Singapore,1994-05-26T00:00:00Z,Central Water Catchment
Q2033070,Safari World,Thailand,1988-02-17T00:00:00Z,Bangkok
Q3346440,Alipore Zoological Gardens,India,1876-05-01T00:00:00Z,"Ward No. 74, Kolkata Municipal Corporation"
Q3350326,Bangladesh National Zoo,Bangladesh,1974-06-23T00:00:00Z,
Q5527559,Gatwala Wildlife Park,Pakistan,1992-01-01T00:00:00Z,
Q19746000,Q19746000,Indonesia,,Semarang
Q25663373,Albay Park and Wildlife,Philippines,,Legazpi
Q81821,Hiroshima City Asa Zoological Park,Japan,1971-09-01T00:00:00Z,Asakita-ku
Q3495905,Padmaja Naidu Himalayan Zoological Park,India,1958-01-01T00:00:00Z,Darjeeling
Q1054648,Tennōji Zoo,Japan,1915-01-01T00:00:00Z,Q86727104
Q861893,Naypyidaw Safari Park,Myanmar,2011-02-12T00:00:00Z,Naypyidaw
Q2915736,Jerusalem Biblical Zoo,Israel,1940-01-01T00:00:00Z,Jerusalem
Q2713110,Ragunan Zoo,Indonesia,1864-01-01T00:00:00Z,
Q25247987,Ridiyagama Safari Park,Sri Lanka,,
Q16345864,Gazipur Safari Park,Bangladesh,2013-11-01T00:00:00Z,Gazipur District
Q4062771,Almaty Zoo,Soviet Union,1936-01-01T00:00:00Z,Almaty
Q3523523,Mysore Zoo,India,1892-01-01T00:00:00Z,Mysore
Q19893153,Rohtak Zoo,India,,Haryana
Q94465,Eram Zoo,Iran,1990-01-01T00:00:00Z,District 5
Q20984189,Qinhuangdao Wildlife Park,People's Republic of China,1995-01-01T00:00:00Z,
Q647587,Arignar Anna Zoological Park,India,1855-01-01T00:00:00Z,Chengalpattu district
Q290283,Karagandy Zoo,Kazakhstan,1938-01-01T00:00:00Z,Karaganda
